NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000109189	3583	0.024011721834540367	-0.14409322	No	
row_1	ENSG00000112096	6087	0.008742731995880604	-0.24584319	No	
row_2	ENSG00000185499	6931	0.005202980246394873	-0.2798057	No	
row_3	ENSG00000188352	7327	0.003938806708902121	-0.29551566	No	
row_4	ENSG00000124177	7655	0.0030234542209655046	-0.3085533	No	
row_5	ENSG00000118402	15180	-0.002990620443597436	-0.6175734	No	
row_6	ENSG00000106351	15279	-0.0031072120182216167	-0.621182	No	
row_7	ENSG00000133639	16161	-0.0042054541409015656	-0.65684265	No	
row_8	ENSG00000116678	17927	-0.007501096464693546	-0.7284107	No	
row_9	ENSG00000226887	18439	-0.008754790760576725	-0.74823767	No	
row_10	ENSG00000213694	18694	-0.009436171501874924	-0.757403	No	
row_11	ENSG00000168386	18703	-0.009456435218453407	-0.7564488	No	
row_12	ENSG00000252666	18752	-0.009610471315681934	-0.7571187	No	
row_13	ENSG00000183668	18885	-0.010057948529720306	-0.76118237	No	
row_14	ENSG00000163631	19358	-0.011467273347079754	-0.7790374	No	
row_15	ENSG00000189221	19577	-0.012220324017107487	-0.7863444	No	
row_16	ENSG00000154734	19914	-0.013399416580796242	-0.79834425	No	
row_17	ENSG00000136147	20002	-0.013761966489255428	-0.80005467	No	
row_18	ENSG00000196167	20193	-0.014492886140942574	-0.8059018	No	
row_19	ENSG00000243649	20351	-0.015169268473982811	-0.81030005	No	
row_20	ENSG00000143127	20569	-0.01615615375339985	-0.81703186	No	
row_21	ENSG00000038427	20640	-0.016474416479468346	-0.81767505	No	
row_22	ENSG00000114251	20760	-0.016966568306088448	-0.82026666	No	
row_23	ENSG00000041982	20764	-0.017004135996103287	-0.81808263	No	
row_24	ENSG00000145244	20980	-0.01822078600525856	-0.82445204	No	
row_25	ENSG00000184292	20993	-0.018284816294908524	-0.82246435	No	
row_26	ENSG00000170525	21043	-0.018523404374718666	-0.8219659	No	
row_27	ENSG00000119946	21075	-0.018718231469392776	-0.82070076	No	
row_28	ENSG00000155111	21236	-0.019692059606313705	-0.8246086	Yes	
row_29	ENSG00000115461	21252	-0.019790291786193848	-0.82254004	Yes	
row_30	ENSG00000035928	21307	-0.020122509449720383	-0.8220302	Yes	
row_31	ENSG00000149591	21351	-0.020401136949658394	-0.8210302	Yes	
row_32	ENSG00000122786	21456	-0.02100725844502449	-0.8224566	Yes	
row_33	ENSG00000168542	21472	-0.021159686148166656	-0.8202022	Yes	
row_34	ENSG00000107796	21487	-0.021286895498633385	-0.81788933	Yes	
row_35	ENSG00000069869	21500	-0.021381543949246407	-0.8154814	Yes	
row_36	ENSG00000148795	21588	-0.022016335278749466	-0.81607175	Yes	
row_37	ENSG00000186407	21604	-0.02213127911090851	-0.8136855	Yes	
row_38	ENSG00000198959	21715	-0.022826779633760452	-0.81511176	Yes	
row_39	ENSG00000107518	21849	-0.02376543916761875	-0.81735647	Yes	
row_40	ENSG00000181264	21888	-0.024034680798649788	-0.8156578	Yes	
row_41	ENSG00000105655	21896	-0.02409842051565647	-0.8126756	Yes	
row_42	ENSG00000011465	21974	-0.024780604988336563	-0.81247956	Yes	
row_43	ENSG00000005108	22009	-0.02501484751701355	-0.8104834	Yes	
row_44	ENSG00000189060	22015	-0.025078916922211647	-0.80728585	Yes	
row_45	ENSG00000153827	22141	-0.026157740503549576	-0.808877	Yes	
row_46	ENSG00000110723	22251	-0.02704363688826561	-0.8096899	Yes	
row_47	ENSG00000149968	22328	-0.027623604983091354	-0.80906695	Yes	
row_48	ENSG00000108691	22503	-0.02936084195971489	-0.8122385	Yes	
row_49	ENSG00000221869	22509	-0.029406363144516945	-0.8084538	Yes	
row_50	ENSG00000122641	22556	-0.029805980622768402	-0.806301	Yes	
row_51	ENSG00000113578	22563	-0.029857462272047997	-0.80249614	Yes	
row_52	ENSG00000136153	22671	-0.030857771635055542	-0.8027092	Yes	
row_53	ENSG00000169213	22816	-0.032559920102357864	-0.804213	Yes	
row_54	ENSG00000152952	22961	-0.034434132277965546	-0.80546236	Yes	
row_55	ENSG00000169429	22968	-0.03453509137034416	-0.8010228	Yes	
row_56	ENSG00000182836	22985	-0.03479732573032379	-0.7969589	Yes	
row_57	ENSG00000020577	23066	-0.03609967231750488	-0.7953503	Yes	
row_58	ENSG00000066468	23096	-0.036546166986227036	-0.7915837	Yes	
row_59	ENSG00000122862	23108	-0.036714330315589905	-0.78705406	Yes	
row_60	ENSG00000196154	23127	-0.03706943243741989	-0.7827641	Yes	
row_61	ENSG00000120217	23138	-0.037201911211013794	-0.77812713	Yes	
row_62	ENSG00000101974	23215	-0.03827907145023346	-0.7760583	Yes	
row_63	ENSG00000137331	23275	-0.039582509547472	-0.7731134	Yes	
row_64	ENSG00000146376	23362	-0.041300829499959946	-0.7710458	Yes	
row_65	ENSG00000139372	23440	-0.04290856420993805	-0.7683899	Yes	
row_66	ENSG00000173706	23451	-0.0431995689868927	-0.76293904	Yes	
row_67	ENSG00000075539	23463	-0.04349309578537941	-0.75748956	Yes	
row_68	ENSG00000142192	23510	-0.04479476436972618	-0.75330275	Yes	
row_69	ENSG00000205542	23526	-0.045068319886922836	-0.747804	Yes	
row_70	ENSG00000136144	23553	-0.04565542936325073	-0.7426779	Yes	
row_71	ENSG00000155330	23556	-0.045744389295578	-0.73655283	Yes	
row_72	ENSG00000100612	23582	-0.04636184126138687	-0.73128974	Yes	
row_73	ENSG00000111799	23694	-0.050189308822155	-0.72904414	Yes	
row_74	ENSG00000092969	23722	-0.05145983770489693	-0.72317153	Yes	
row_75	ENSG00000075790	23759	-0.053121961653232574	-0.7174435	Yes	
row_76	ENSG00000233705	23790	-0.05495274066925049	-0.7112204	Yes	
row_77	ENSG00000164597	23827	-0.05636511743068695	-0.70505226	Yes	
row_78	ENSG00000072110	23903	-0.060938265174627304	-0.6998675	Yes	
row_79	ENSG00000115419	23919	-0.061756204813718796	-0.6921042	Yes	
row_80	ENSG00000087053	23925	-0.061927687376737595	-0.68390644	Yes	
row_81	ENSG00000069849	23972	-0.06506173312664032	-0.6769695	Yes	
row_82	ENSG00000092020	24038	-0.07128559052944183	-0.6699694	Yes	
